Title,Writer,Narrator,Length,Release Date,Language,Ratings
Atomic Habits,James Clear,James Clear,2105,18-10-18,English,5
Rich Dad Poor Dad,Robert T. Kiyosaki,James Clear,546,15-06-12,English,4.5
The Psychology of Money,Morgan Housel,James Clear,2885,8/9/2020,English,4.5
The Subtle Art of Not Giving a F*ck,Mark Manson,James Clear,1025,13-09-16,English,4.5
Doglapan,Ashneer Grover,James Clear,1806,28-01-23,English,4.5
Ikigai,"Hector Garcia, Francesc Miralles",James Clear,1383,18-09-17,English,4.5
Energize Your Mind,Gaur Gopal Das,James Clear,1210,10/1/2023,English,5
How to Talk to Anyone,Leil Lowndes,James Clear,3548,1/9/2015,English,4.5
Sapiens,Yuval Noah Harari,James Clear,1095,30-04-15,English,5
"Thinking, Fast and Slow",Daniel Kahneman,James Clear,20,23-12-11,English,4.5
Can't Hurt Me,David Goggins,James Clear,2233,28-11-18,English,5
The Bhagavad Gita,Eknath Easwaran,James Clear,3248,28-12-14,English,4.5
The Courage to Be Disliked ,"Fumitake Koga, Ichiro Kishimi",James Clear,3006,22-02-18,English,4.5
The 5 AM Club,Robin Sharma,James Clear,251,6/12/2018,English,4.5
The Almanack of Naval Ravikant,"Eric Jorgenson, Tim Ferriss",James Clear,3184,1/3/2021,English,4.5
Hyperfocus,Chris Bailey,James Clear,2346,6/9/2018,English,4.5
The Intelligent Investor Rev Ed.,Benjamin Graham,James Clear,2897,7/7/2015,English,4.5
Attitude Is Everything,Jeff Keller,James Clear,2583,6/1/2021,English,4.5
The Power of Your Subconscious Mind,Joseph Murphy,James Clear,787,6/11/2019,English,4.5
American Prometheus,"Kai Bird, Martin J. Sherwin",James Clear,1826,28-03-07,English,4.5
Atomic Habits,James Clear,James Clear,2105,18-10-18,English,5
Rich Dad Poor Dad,Robert T. Kiyosaki,James Clear,546,15-06-12,English,4.5
The Psychology of Money,Morgan Housel,James Clear,2885,8/9/2020,English,4.5
The Subtle Art of Not Giving a F*ck,Mark Manson,James Clear,1025,13-09-16,English,4.5
Doglapan,Ashneer Grover,James Clear,1806,28-01-23,English,4.5
Ikigai,"Hector Garcia, Francesc Miralles",James Clear,1383,18-09-17,English,4.5
Energize Your Mind,Gaur Gopal Das,James Clear,1210,10/1/2023,English,5
How to Talk to Anyone,Leil Lowndes,James Clear,3548,1/9/2015,English,4.5
